DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2010,15020,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2011,15310,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2012,15170,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2013,15160,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2014,15480,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2015,16290,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2016,16670,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2017,17490,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2018,17990,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2019,18460,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2020,17400,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2021,18020,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2000,28910,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2001,29370,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2002,29290,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2003,29100,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2004,29470,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2005,29730,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2006,30930,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2007,31920,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2008,32320,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2009,30580,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2010,31940,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2011,33200,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2012,33280,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2013,33330,
ESTAT:SDG_08_10(1.0),08/12/22 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2014,33920,
